epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.931,1.35006,3.0548,1.5395,0.59082,0.62059,0.6383,0.42493,1.08426,1.33988,1.35024,0.000195542,0.000195542,0.000195542
2,265.876,1.31407,1.9352,1.4632,0.60267,0.68765,0.69857,0.45698,1.05214,1.54827,1.30979,0.000314017,0.000314017,0.000314017
3,393.499,1.26695,1.60987,1.42505,0.77737,0.75427,0.81885,0.54552,0.97246,0.94233,1.24921,0.000354875,0.000354875,0.000354875
4,519.327,1.21588,1.38505,1.38625,0.81506,0.80962,0.8601,0.60306,0.87053,0.76169,1.15991,0.000238728,0.000238728,0.000238728
5,646.78,1.14934,1.21094,1.33839,0.87094,0.87242,0.90655,0.64043,0.84646,0.6598,1.13991,0.000122304,0.000122304,0.000122304
